File Copy;A simple block file copy;copy;useless string
To MP4;Change container -> MP4;ffmpeg;-acodec copy -vcodec copy -f mp4
To MP2 (buggy);Convert video track to MPEG-2 format, copy audio track;ffmpeg;-acodec copy -vcodec mpeg2video -sameq -f mpeg2video
Force 720p MP4;Force aspect to 16/9 and resolution to 720p;ffmpeg;-aspect 16:9 -s 1280x720 -sameq -f mp4
To 480p MP4;Resize (only if height > 480) to 480p -> MP4;ffmpeg;-strict experimental -vf 'scale=trunc(oh*a/2)*2:min(480\\\\,ih)' -sameq -f mp4
To H.264 MP4;Transcode video track to H.264 -> MP4;ffmpeg;-acodec copy -vcodec libx264 -crf 10 -f mp4
Deinterlace MP4;Deinterlace video track -> MP4;ffmpeg;-strict experimental -vf 'yadif=0.-1:0, scale=trunc(iw/2)*2:trunc(ih/2)*2' -sameq -f mp4
Speed-up 2x MP4;Speed-up video track by a factor of 2, remove audio -> MP4;ffmpeg;-strict experimental -vf 'setpts=0.5*PTS' -sameq -f mp4
Negate MP4;Negate video track -> MP4;ffmpeg;-strict experimental -vf 'negate' -sameq -f mp4
DASH-1;From DashCast website;dashcast;-seg-dur 1000 -frag-dur 200
